0.100000 1.000000 
0.200000 1.000000 
0.300000 1.000000 
0.400000 0.999992 
0.500000 0.998942 
0.600000 0.995041 
0.700000 0.991673 
0.800000 0.990435 
0.900000 0.990596 
1.000000 0.991354 
1.100000 0.992276 
1.200000 0.993176 
1.300000 0.993987 
1.400000 0.994693 
1.500000 0.995300 
1.600000 0.995819 
1.700000 0.996262 
1.800000 0.996643 
1.900000 0.996971 
2.000000 0.997255 
2.100000 0.997502 
2.200000 0.997717 
2.300000 0.997907 
2.400000 0.998074 
2.500000 0.998222 
2.600000 0.998354 
2.700000 0.998472 
2.800000 0.998578 
2.900000 0.998674 
3.000000 0.998760 
