
 0.275	     17882.1	     292.762	      762808	     17702.2	
 0.425	     30902.5	     480.111	 1.97169e+06	     26289.3	
 0.575	     39221.7	     700.939	 3.26996e+06	       33814	
 0.725	     43060.1	     918.925	 4.08936e+06	       39843	
 0.875	     44126.3	     1113.21	 4.21154e+06	     42271.4	
 1.025	     43068.7	     1258.41	  3.7333e+06	     40500.3	
   1.2	     53569.3	      1781.7	 3.82707e+06	     48827.3	
   1.4	     48562.7	      1804.6	 2.56059e+06	     39835.2	
 1.625	     52978.3	      2181.1	 1.92395e+06	     36638.7	
 1.875	     43151.1	     1950.09	 1.11679e+06	     24229.2	
   2.5	     99649.1	     5253.52	 1.76841e+06	     29369.8	
----------------------------------------------------------------------
Total:	      516172	     17735.4	 2.92355e+07	      379320	
