
 0.275	     26.8681	    0.355519	    0.795677	   0.0120267	     2.35988	   0.0795622	     1722.31	
 0.425	     47.0422	    0.580198	     1.98041	   0.0192821	     5.31984	    0.111076	     3015.52	
 0.575	     60.5447	    0.814445	      3.1998	    0.023853	     8.05312	    0.118399	           0	
 0.725	     67.4871	     1.06647	     4.21029	    0.027869	     10.0942	    0.122521	           0	
 0.875	     70.2431	     1.31119	     4.65913	   0.0291357	      10.878	    0.117545	           0	
 1.025	     69.9329	     1.49851	     4.64563	   0.0289594	     10.6892	    0.109036	           0	
   1.2	     88.6167	     2.14782	     5.57194	   0.0387533	     12.6764	    0.137204	           0	
   1.4	     80.9415	     2.18545	     4.32546	   0.0344613	     9.73201	    0.115986	           0	
 1.625	     88.6278	     2.61549	     3.27495	   0.0329549	     7.30058	    0.106569	           0	
 1.875	     71.9426	     2.26894	      1.5182	    0.021303	     3.36291	   0.0665651	           0	
   2.5	     156.906	     5.62306	     1.34401	   0.0213746	     2.95275	   0.0642263	           0	
----------------------------------------------------------------------------------------------------------------------
Total:	     829.153	     20.4671	     35.5255	    0.289973	      83.419	     1.14869	     4737.83	
