
 0.275	      534.62	     8.75267	     12.5824	    0.291994	      370024	     19186.6	
 0.425	      923.89	     14.3538	     32.5226	    0.433638	      866814	     24784.7	
 0.575	     1172.61	     20.9559	     53.9375	    0.557756	 1.34761e+06	     27476.1	
 0.725	     1287.36	      27.473	     67.4534	    0.657204	 1.60608e+06	     28675.9	
 0.875	     1319.24	     33.2816	     69.4687	    0.697261	 1.61065e+06	     27917.7	
 1.025	     1287.62	     37.6224	     61.5802	    0.668047	 1.40702e+06	     24992.7	
   1.2	     1601.56	     53.2673	      63.127	    0.805399	 1.42625e+06	     28345.1	
   1.4	     1451.88	      53.952	     42.2365	    0.657075	      943488	     21967.2	
 1.625	     1583.89	     65.2081	     31.7352	    0.604349	      702143	     19399.3	
 1.875	     1290.08	     58.3018	     18.4213	    0.399657	      404932	     12389.6	
   2.5	      2979.2	     157.064	     29.1696	     0.48445	      635463	       14423	
------------------------------------------------------------------------------------------------------
Total:	     15431.9	     530.233	     482.234	     6.25683	 1.13205e+07	      249558	
