0.275 0.15 355365 344749 
0.425 0.15 870575 844535 
0.575 0.15 1.40382e+06 1.3618e+06 
0.725 0.15 1.82503e+06 1.77039e+06 
0.875 0.15 2.01736e+06 1.95695e+06 
1.025 0.15 2.00177e+06 1.94184e+06 
1.2 0.2 2.36737e+06 2.2965e+06 
1.4 0.2 1.78968e+06 1.73613e+06 
1.625 0.25 1.3317e+06 1.2919e+06 
1.875 0.25 632283 613435 
2.5 1 613983 595829 

 0.275	     43.5766	    0.576525	      339685	     5019.34	
 0.425	     76.2832	    0.957678	      836409	     8048.61	
 0.575	     98.4825	     1.35723	 1.35155e+06	     10153.5	
 0.725	     109.786	      1.7624	 1.75852e+06	     11762.1	
 0.875	     114.348	     2.14555	 1.94441e+06	     12423.9	
 1.025	     114.272	     2.43508	 1.92929e+06	     12424.4	
   1.2	     145.173	     3.48601	 2.27981e+06	     16539.3	
   1.4	     132.245	      3.5248	 1.72218e+06	     13807.1	
 1.625	     144.025	     4.20268	 1.27847e+06	     13277.1	
 1.875	     116.694	     3.70424	      604798	      8516.1	
   2.5	     256.339	     9.33009	      586620	     8943.52	
----------------------------------------------------------------------
Total:	     1351.23	     33.4823	 1.46318e+07	      120915	
