
 0.275	     48.3304	    0.639419	     1.44758	   0.0187705	     5.22927	    0.153089	     3961.51	
 0.425	      84.605	     1.06215	     3.15059	   0.0286855	     10.4671	    0.201614	     6934.84	
 0.575	     109.226	     1.50529	     4.81926	   0.0358678	     15.1518	    0.221194	           0	
 0.725	     121.763	     1.95466	     6.04127	   0.0407273	     18.2531	    0.224778	           0	
 0.875	     126.822	     2.37961	     6.58794	   0.0429766	     19.4238	    0.218131	           0	
 1.025	     126.738	     2.70072	     6.48121	   0.0432315	     18.8293	    0.205464	           0	
   1.2	      161.01	      3.8663	     7.61482	   0.0550019	     21.8736	    0.246813	           0	
   1.4	     146.672	     3.90932	     5.79365	   0.0473462	     16.4768	    0.202381	           0	
 1.625	     159.737	     4.66115	     4.53742	   0.0451607	     12.7938	    0.185487	           0	
 1.875	     129.425	     4.10834	     2.31426	   0.0297817	     6.48023	    0.118323	           0	
   2.5	     284.304	     10.3479	     2.33599	   0.0338717	     6.48099	    0.129345	           0	
----------------------------------------------------------------------------------------------------------------------
Total:	     1498.63	     37.1349	      51.124	    0.421421	      151.46	     2.10662	     10896.3	
