0.275 0.15 77.8844 72.7502 
0.425 0.15 115.385 130.11 
0.575 0.15 90.8656 152.495 
0.725 0.15 72.1156 144.101 
0.875 0.15 49.0384 141.304 
1.025 0.15 33.1732 130.11 
1.2 0.2 26.923 152.961 
1.4 0.2 15.3846 119.385 
1.625 0.25 9.61539 123.581 
1.875 0.25 4.8077 97.9329 
2.5 1 9.61539 186.538 

 0.275	     76.8207	     1.06377	
 0.425	     114.276	     1.10932	
 0.575	      90.163	    0.702569	
 0.725	     71.6209	    0.494701	
 0.875	     48.7178	    0.320559	
 1.025	     32.9555	    0.217701	
   1.2	     26.7345	    0.188485	
   1.4	     15.2641	    0.120436	
 1.625	      9.5253	   0.0900922	
 1.875	     4.74958	   0.0581173	
   2.5	     9.47384	    0.141545	
--------------------------------------
Total:	     500.301	     4.50729	
