0.275 0.15 149575 146780 
0.425 0.15 370314 362166 
0.575 0.15 596973 582879 
0.725 0.15 784844 765561 
0.875 0.15 868197 846600 
1.025 0.15 865665 844136 
1.2 0.2 1.03902e+06 1.01349e+06 
1.4 0.2 807392 788339 
1.625 0.25 612576 599872 
1.875 0.25 285093 281155 
2.5 1 252849 255369 
