-3 0.85 
-3 0.9 
-3 0.95 
-2.95 0.85 
-2.95 0.9 
-2.95 0.95 
-2.9 0.85 
-2.9 0.9 
-2.9 0.95 
-2.85 0.85 
-2.85 0.9 
-2.85 0.95 
-2.8 0.85 
-2.8 0.9 
-2.8 0.95 
-2.75 0.85 
-2.75 0.9 
-2.75 0.95 
-2.7 0.85 
-2.7 0.9 
-2.7 0.95 
-2.65 0.85 
-2.65 0.9 
-2.65 0.95 
-2.6 0.85 
-2.6 0.9 
-2.6 0.95 
-2.55 0.85 
-2.55 0.9 
-2.55 0.95 
-2.5 0.85 
-2.5 0.9 
-2.5 0.95 
-2.45 0.85 
-2.45 0.9 
-2.45 0.95 
-2.4 0.85 
-2.4 0.9 
-2.4 0.95 
-2.35 0.85 
-2.35 0.9 
-2.35 0.95 
-2.3 0.85 
-2.3 0.9 
-2.3 0.95 
-2.25 0.85 
-2.25 0.9 
-2.25 0.95 
-2.2 0.85 
-2.2 0.9 
-2.2 0.95 
-2.15 0.85 
-2.15 0.9 
-2.15 0.95 
-2.1 0.85 
-2.1 0.9 
-2.1 0.95 
-2.05 0.85 
-2.05 0.9 
-2.05 0.95 
