0.25 1 3.23968e+08 0.115999 0.1 
0.35 1 3.75157e+08 0.229646 0.1 
0.425 1 4.06411e+08 0.313498 0.05 
0.475 1 4.1646e+08 0.372426 0.05 
0.525 1 4.29926e+08 0.432078 0.05 
0.575 1 4.28918e+08 0.493493 0.05 
0.625 1 4.27402e+08 0.553772 0.05 
0.675 1 4.13246e+08 0.611253 0.05 
0.725 1 3.95399e+08 0.667009 0.05 
0.775 1 3.84812e+08 0.718481 0.05 
0.825 1 3.59224e+08 0.76866 0.05 
0.875 1 3.33045e+08 0.815603 0.05 
0.925 1 3.13413e+08 0.861825 0.05 
0.975 1 2.81288e+08 0.906222 0.05 
1.125 1 2.05647e+08 1.03661 0.25 
1.375 1 1.07461e+08 1.24336 0.25 
1.75 1 3.70494e+07 1.52694 0.5 
2.25 1 1.08334e+07 1.87639 0.5 
2.75 1 5.56919e+06 2.21825 0.5 
